matiere,theme,difficulte,origine,enonce,solution,explication
"Mathématiques","Équations du 1er degré","facile","banque_manuelle","Résous l'équation : x + 7 = 12.","x = 5","On veut isoler x, c'est-à-dire le laisser seul d'un côté du signe =.

1) On part de : x + 7 = 12
2) On retire 7 des deux côtés (ce qu'on fait d'un côté, on le fait de l'autre) :
   x + 7 - 7 = 12 - 7
3) On simplifie : x = 5

Vérification : 5 + 7 = 12. C'est bien vrai, donc x = 5."
"Mathématiques","Équations du 1er degré","moyen","banque_manuelle","Résous l'équation : 3x - 5 = 16.","x = 7","1) On part de : 3x - 5 = 16
2) On ajoute 5 des deux côtés :
   3x - 5 + 5 = 16 + 5
   3x = 21
3) On divise les deux côtés par 3 :
   x = 21 ÷ 3
   x = 7

Vérification : 3 × 7 - 5 = 21 - 5 = 16. C'est juste."
"Mathématiques","Équations du 1er degré","examen","banque_manuelle","Résous l'équation : 5(x - 2) = 2x + 11.","x = 7","1) On développe le membre de gauche :
   5(x - 2) = 5x - 10
   L'équation devient : 5x - 10 = 2x + 11
2) On regroupe les x à gauche : on retire 2x des deux côtés
   5x - 2x - 10 = 11
   3x - 10 = 11
3) On ajoute 10 des deux côtés :
   3x = 21
4) On divise par 3 :
   x = 7

Vérification : 5(7 - 2) = 5 × 5 = 25 et 2 × 7 + 11 = 14 + 11 = 25. Les deux membres sont égaux."
"Mathématiques","Calcul littéral (développer / factoriser)","facile","banque_manuelle","Développe l'expression : A = 3(x + 4).","A = 3x + 12","Développer, c'est enlever les parenthèses en multipliant le facteur devant par CHAQUE terme à l'intérieur.

1) A = 3(x + 4)
2) On multiplie 3 par x, puis 3 par 4 :
   A = 3 × x + 3 × 4
3) On calcule : A = 3x + 12"
"Mathématiques","Calcul littéral (développer / factoriser)","moyen","banque_manuelle","Développe et réduis : B = (x + 3)(x - 5).","B = x² - 2x - 15","On utilise la double distributivité : chaque terme de la première parenthèse multiplie chaque terme de la seconde.

1) B = x × x + x × (-5) + 3 × x + 3 × (-5)
2) B = x² - 5x + 3x - 15
3) On réduit les termes semblables (-5x et +3x) :
   -5x + 3x = -2x
4) B = x² - 2x - 15"
"Mathématiques","Calcul littéral (développer / factoriser)","examen","banque_manuelle","Factorise l'expression : C = x² - 9.","C = (x - 3)(x + 3)","On reconnaît une identité remarquable : a² - b² = (a - b)(a + b).

1) C = x² - 9
2) On écrit 9 comme un carré : 9 = 3²
   Donc C = x² - 3²
3) Ici a = x et b = 3, donc :
   C = (x - 3)(x + 3)

Vérification en développant : (x - 3)(x + 3) = x² + 3x - 3x - 9 = x² - 9."
"Mathématiques","Théorème de Thalès","facile","banque_manuelle","Dans un triangle ABC, M est un point de [AB] et N un point de [AC] tels que (MN) est parallèle à (BC).
On donne AM = 3 cm, AB = 9 cm et BC = 12 cm.
Calcule MN.","MN = 4 cm","Comme (MN) est parallèle à (BC), le théorème de Thalès donne :
   AM/AB = AN/AC = MN/BC

1) On utilise AM/AB = MN/BC
2) On remplace : 3/9 = MN/12
3) On simplifie 3/9 = 1/3
4) Donc MN/12 = 1/3, ce qui donne MN = 12 ÷ 3
5) MN = 4 cm"
"Mathématiques","Théorème de Thalès","moyen","banque_manuelle","Dans un triangle ABC, M ∈ [AB] et N ∈ [AC] avec (MN) parallèle à (BC).
On donne AM = 4 cm, AB = 10 cm et AN = 6 cm.
Calcule AC.","AC = 15 cm","Le théorème de Thalès donne : AM/AB = AN/AC

1) On remplace : 4/10 = 6/AC
2) On fait le produit en croix : 4 × AC = 10 × 6
3) 4 × AC = 60
4) AC = 60 ÷ 4
5) AC = 15 cm"
"Mathématiques","Théorème de Thalès","examen","banque_manuelle","Dans un triangle ABC, M ∈ [AB] et N ∈ [AC] avec (MN) parallèle à (BC).
On donne AM = 2,5 cm, MB = 3,5 cm et MN = 4,5 cm.
Calcule BC.","BC = 10,8 cm","1) On calcule d'abord AB. M est sur [AB] donc :
   AB = AM + MB = 2,5 + 3,5 = 6 cm
2) Le théorème de Thalès donne : AM/AB = MN/BC
3) On remplace : 2,5/6 = 4,5/BC
4) Produit en croix : 2,5 × BC = 6 × 4,5 = 27
5) BC = 27 ÷ 2,5
6) BC = 10,8 cm"
"Mathématiques","Théorème de Pythagore","facile","banque_manuelle","ABC est un triangle rectangle en A.
On donne AB = 3 cm et AC = 4 cm.
Calcule la longueur BC.","BC = 5 cm","Le triangle est rectangle en A, donc [BC] est l'hypoténuse (le côté opposé à l'angle droit).
Le théorème de Pythagore dit : BC² = AB² + AC²

1) BC² = 3² + 4²
2) BC² = 9 + 16
3) BC² = 25
4) BC = √25 = 5 cm"
"Mathématiques","Théorème de Pythagore","moyen","banque_manuelle","ABC est un triangle rectangle en A.
On donne BC = 13 cm et AB = 5 cm.
Calcule AC.","AC = 12 cm","Le triangle est rectangle en A, donc l'hypoténuse est [BC].
Pythagore : BC² = AB² + AC²

1) On remplace : 13² = 5² + AC²
2) 169 = 25 + AC²
3) On isole AC² : AC² = 169 - 25
4) AC² = 144
5) AC = √144 = 12 cm

Attention : ici on cherche un côté de l'angle droit, donc on SOUSTRAIT."
"Mathématiques","Théorème de Pythagore","examen","banque_manuelle","Un triangle ABC a pour dimensions AB = 6 cm, AC = 8 cm et BC = 10 cm.
Ce triangle est-il rectangle ? Si oui, précise en quel sommet.","Oui, il est rectangle en A.","On utilise la réciproque du théorème de Pythagore.

1) On repère le plus grand côté : BC = 10 cm. S'il y a un angle droit, il est opposé à ce côté, donc en A.
2) On calcule séparément les deux membres :
   BC² = 10² = 100
   AB² + AC² = 6² + 8² = 36 + 64 = 100
3) On compare : BC² = AB² + AC² (100 = 100)
4) D'après la réciproque du théorème de Pythagore, le triangle ABC est rectangle en A."
"Mathématiques","Trigonométrie (triangle rectangle)","facile","banque_manuelle","ABC est un triangle rectangle en A.
On donne AB = 4 cm et BC = 8 cm.
Calcule cos(ABC), puis déduis la mesure de l'angle ABC.","cos(ABC) = 0,5 donc l'angle ABC mesure 60°.","Dans le triangle rectangle en A, pour l'angle en B :
   - le côté adjacent est [AB]
   - l'hypoténuse est [BC]

1) Formule : cos(angle) = adjacent / hypoténuse
2) cos(ABC) = AB/BC = 4/8
3) cos(ABC) = 0,5
4) On cherche l'angle dont le cosinus vaut 0,5 : c'est 60°.
   (À la calculatrice : touche cos⁻¹ ou Arccos de 0,5.)

Moyen mnémotechnique : SOH-CAH-TOA — Cosinus = Adjacent/Hypoténuse."
"Mathématiques","Trigonométrie (triangle rectangle)","moyen","banque_manuelle","ABC est un triangle rectangle en A.
L'angle ABC mesure 30° et BC = 10 cm.
Calcule AC.","AC = 5 cm","Pour l'angle en B dans le triangle rectangle en A :
   - le côté opposé est [AC]
   - l'hypoténuse est [BC]

1) On utilise le sinus : sin(angle) = opposé / hypoténuse
2) sin(30°) = AC/BC
3) On sait que sin(30°) = 0,5
4) Donc 0,5 = AC/10
5) AC = 0,5 × 10 = 5 cm"
"Mathématiques","Trigonométrie (triangle rectangle)","examen","banque_manuelle","ABC est un triangle rectangle en A.
On donne AB = 6 cm et AC = 8 cm.
Calcule tan(ABC), puis donne la mesure de l'angle ABC arrondie au degré.","tan(ABC) ≈ 1,33 donc l'angle ABC ≈ 53°.","Pour l'angle en B dans le triangle rectangle en A :
   - le côté opposé est [AC] = 8 cm
   - le côté adjacent est [AB] = 6 cm

1) Formule : tan(angle) = opposé / adjacent
2) tan(ABC) = AC/AB = 8/6
3) tan(ABC) ≈ 1,33
4) À la calculatrice, on utilise tan⁻¹ (Arctan) :
   ABC = tan⁻¹(1,33) ≈ 53,1°
5) Arrondi au degré : ABC ≈ 53°"
"Mathématiques","Statistiques (moyenne, effectifs)","facile","banque_manuelle","Voici les notes de Koffi en mathématiques : 8 ; 12 ; 14 ; 10 ; 16.
Calcule sa moyenne.","La moyenne est 12.","La moyenne = somme des valeurs ÷ nombre de valeurs.

1) On additionne toutes les notes :
   8 + 12 + 14 + 10 + 16 = 60
2) On compte le nombre de notes : il y en a 5
3) On divise : 60 ÷ 5 = 12

La moyenne de Koffi est 12."
