matiere,theme,difficulte,modele,variante,enonce,solution,explication,longueur_enonce,longueur_explication,mots_enonce
Mathématiques,"Statistiques (moyenne, effectifs)",facile,gemini-3.5-flash,C_complet,"Kofi, un élève en classe de 3ème au CEG 1 de Porto-Novo, a obtenu les notes suivantes en Mathématiques au cours du premier semestre : 12, 15, 08, 11 et 14 (notes sur 20).

1) Quel est l'effectif total des notes de Kofi ?
2) Calcule la moyenne de Kofi en Mathématiques pour ce semestre.","1) L'effectif total est de 5 notes.
2) La moyenne de Kofi est de 12/20.","Bonjour mon ami ! Ensemble, nous allons résoudre cet exercice pas à pas. C'est très simple, tu vas voir !

**Étape 1 : Comprendre et trouver l'effectif total**
L'effectif total, c'est tout simplement le nombre total de valeurs que nous étudions. Ici, nous comptons le nombre de notes que Kofi a obtenues.
Kofi a obtenu les notes : 12, 15, 08, 11 et 14.
Si nous les comptons une par une :
- La première note est 12
- La deuxième est 15
- La troisième est 08
- La quatrième est 11
- La cinquième est 14
Il y a donc 5 notes au total.
L'**effectif total** est donc **5**.

**Étape 2 : Calculer la moyenne**
Pour trouver la moyenne, nous devons suivre deux petites étapes très faciles :
1. On fait la somme de toutes les notes.
2. On divise cette somme par l'effectif total (qui est 5).

Faisons d'abord la somme des notes :
Somme = 12 + 15 + 08 + 11 + 14
Calculons ensemble :
12 + 15 = 27
27 + 08 = 35
35 + 11 = 46
46 + 14 = 60
La somme totale des notes est de **60**.

Maintenant, divisons cette somme par l'effectif total (5) :
Moyenne = 60 ÷ 5
Calculons : 60 ÷ 5 = 12.

La moyenne de Kofi en Mathématiques est donc de **12** sur 20.

Félicitations ! Tu as vu comme c'est simple ? Continue comme ça, le BEPC est à ta portée !",285,1223,55
Physique-Chimie-Technologie,Loi d’Ohm et résistances,examen,gemini-3.5-flash,A_minimal,"Pour réparer la radio de son grand-père à Cotonou, Koffi utilise un conducteur ohmique de résistance R. Il réalise un circuit pour étudier ce dipôle. À l'aide d'un voltmètre et d'un ampèremètre, il mesure une tension U1 = 6 V aux bornes du conducteur ohmique et une intensité I1 = 150 mA qui le traverse. 1) Convertis l'intensité I1 en Ampères (A). 2) Calcule la valeur de la résistance R de ce conducteur ohmique. 3) Si Koffi branche maintenant ce même conducteur ohmique aux bornes d'une pile de tension U2 = 9 V, quelle sera la nouvelle intensité I2 (en mA) du courant qui le traverse ?","1) I1 = 0,15 A ; 2) R = 40 ohms ; 3) I2 = 225 mA.","Bonjour mon ami ! C'est RépétIA. Ensemble, nous allons résoudre cet exercice pas à pas. C'est un grand classique du BEPC, alors reste bien attentif !

Étape 1 : Convertissons l'intensité I1 en Ampères (A).
En physique, pour appliquer nos formules, il faut toujours utiliser les unités du Système International. L'unité légale de l'intensité est l'Ampère (A). On sait que 1 A = 1000 mA. Donc, pour passer des milliampères (mA) aux ampères (A), on divise par 1000. Ici : I1 = 150 mA = 150 / 1000 = 0,15 A. Super, première étape réussie !

Étape 2 : Calculons la résistance R.
La loi d'Ohm est une formule magique en électricité. Elle s'écrit : U = R x I.
Pour trouver la résistance R, on transforme la formule comme ceci : R = U / I.
Utilisons les valeurs de la première mesure : U1 = 6 V et I1 = 0,15 A.
On fait le calcul : R = 6 / 0,15 = 40 ohms (qu'on écrit avec le symbole grec Omega : 40 Ω).
Magnifique ! La résistance de notre conducteur ohmique est de 40 Ω.

Étape 3 : Calculons la nouvelle intensité I2.
Le conducteur ohmique est le même, sa résistance R ne change pas, elle est toujours de 40 Ω. Mais maintenant, la tension change et vaut U2 = 9 V.
Nous cherchons la nouvelle intensité I2. En transformant la formule de la loi d'Ohm (U = R x I), on obtient : I = U / R.
Calculons I2 : I2 = U2 / R = 9 / 40 = 0,225 A.
Pour donner la réponse en milliampères (mA) comme demandé, on multiplie par 1000 : I2 = 0,225 x 1000 = 225 mA.

Félicitations ! Tu as appliqué la loi d'Ohm comme un chef pour aider Koffi. Continue comme ça, le BEPC est à ta portée !",589,1556,107
Sciences de la Vie et de la Terre,Hygiène et maladies,moyen,gemini-3.5-flash,A_minimal,"Dans un village lacustre du Bénin, plusieurs personnes souffrent de diarrhées liquides abondantes et de vomissements après avoir consommé l'eau d'un puits non protégé. Le médecin du centre de santé diagnostique le choléra. 1) Identifie l'agent pathogène de cette maladie et son mode de transmission dans ce village. 2) Propose deux mesures d'hygiène simples pour stopper la propagation de cette maladie.","1) Agent pathogène : le vibrion cholérique (Vibrio cholerae). Mode de transmission : indirect, par la consommation d'eau souillée. 2) Mesures d'hygiène : bouillir ou désinfecter l'eau avant de la boire, et se laver régulièrement les mains à l'eau propre et au savon.","Bonjour mon ami ! C'est RépétIA. Ensemble, nous allons résoudre cet exercice pas à pas, tu vas voir c'est très simple !

Étape 1 : Identifions l'agent pathogène. L'agent pathogène, c'est le 'microbe' qui provoque la maladie. Dans le cas du choléra, le cours nous apprend que c'est une bactérie en forme de virgule appelée le vibrion cholérique (ou Vibrio cholerae).

Étape 2 : Comprenons le mode de transmission. Comment les villageois ont-ils attrapé la maladie ? Le texte nous dit qu'ils ont bu l'eau d'un puits non protégé. Les selles d'une personne malade ont dû contaminer cette eau. C'est donc une transmission indirecte (le microbe passe par un intermédiaire, ici l'eau souillée, avant de pénétrer dans la bouche de la nouvelle victime).

Étape 3 : Proposons des solutions (mesures d'hygiène). Pour stopper le choléra, il faut barrer la route au microbe. 
- Première mesure : rendre l'eau propre à la consommation. On peut bouillir l'eau du puits (une méthode très simple et efficace à la maison) ou utiliser des comprimés de chlore (comme l'Aquatabs) pour tuer les microbes.
- Deuxième mesure : le lavage des mains. Il faut se laver systématiquement les mains à l'eau propre et au savon (ou à la cendre) après avoir été aux toilettes et avant de manger, pour éviter de transporter le vibrion sur nos aliments.

Félicitations pour tes efforts ! Tu as compris la démarche. Continue ainsi, le BEPC est à ta portée !",403,1420,61
Anglais,Vocabulary and word building,facile,gemini-flash-lite-latest,A_minimal,Complete the sentence with the correct form of the word in brackets: My little brother wants to become a ________ (teach) when he grows up.,teacher,"Etape 1 : On regarde le mot entre parenthèses, qui est le verbe 'teach' (enseigner). 
Etape 2 : On analyse la phrase 'My little brother wants to become a...' (Mon petit frère veut devenir un...). 
Etape 3 : Après l'article 'a', on a besoin d'un nom qui désigne la personne qui fait l'action. En anglais, pour former le nom d'un métier à partir d'un verbe, on ajoute souvent le suffixe '-er' à la fin du verbe. 
Etape 4 : En ajoutant '-er' à 'teach', on obtient 'teacher' (professeur). C'est la bonne réponse ! C'est comme 'work' qui devient 'worker' (travailleur). Bravo, continue comme ça !",139,591,25
Français,Conjugaison et temps verbaux,moyen,gemini-3.5-flash,B_markdown,"Dans la phrase suivante, conjugue le verbe entre parenthèses au temps et au mode qui conviennent : 'Le père de Koffi travaille dur pour que son fils (réussir) à son examen du BEPC.'",réussisse,"Bonjour mon ami ! Ensemble, nous allons résoudre cet exercice pas à pas pour que tu deviennes un champion de la conjugaison.

**Étape 1 : Analyser la phrase**
Regardons bien les mots qui précèdent le verbe. Nous voyons la locution conjonctive **pour que**. C'est un indice très important ! En français, après **pour que** (qui exprime le but), on doit toujours utiliser le mode **subjonctif**.

**Étape 2 : Identifier le verbe et son groupe**
Le verbe entre parenthèses est **réussir**. C'est un verbe du deuxième groupe car son participe présent est 'réussissant'.

**Étape 3 : Conjuguer au subjonctif présent**
Le sujet de notre verbe est **son fils**, ce qui correspond à la troisième personne du singulier (**il**).
Au subjonctif présent, les verbes du deuxième groupe prennent la terminaison **-isse** à la troisième personne du singulier.
Le verbe 'réussir' devient donc **réussisse**.

C'est fantastique, tu as compris la démarche ! Continue tes efforts, le BEPC est à ta portée !",181,987,33
Anglais,Future and conditionals,examen,gemini-flash-lite-latest,B_markdown,"Complete this sentence with the correct form of the verb in brackets: If Kofi studies hard for the BEPC, he (pass) with distinction.",will pass,"Etape 1 : Identifions la structure de la phrase. Elle commence par ""If"" suivi du verbe ""studies"" au présent simple. C'est la structure du premier conditionnel (First Conditional). 

Etape 2 : Rappelons la règle du premier conditionnel. On exprime une action future probable. La structure est : If + Présent simple, + Sujet + WILL + Verbe à l'infinitif.

Etape 3 : Appliquons la règle. Le verbe entre parenthèses est ""pass"". Avec ""will"", cela donne ""will pass"". C'est l'équivalent de réussir brillamment son examen, comme le font de nombreux élèves sérieux ici au Bénin !",132,570,23
Histoire-Géographie,Indépendances africaines,moyen,gemini-flash-lite-latest,A_minimal,En quelle année le Bénin (alors appelé Dahomey) a-t-il accédé à l'indépendance et qui était le chef de l'État à cette date ?,1er août 1960 avec Hubert Maga comme premier Président.,"Étape 1 : Rappelle-toi que la plupart des pays d'Afrique francophone, y compris le Dahomey (actuel Bénin), ont obtenu leur indépendance en 1960. Étape 2 : Précise la date exacte, qui est le 1er août 1960. Étape 3 : Identifie la personnalité politique qui a dirigé le pays à la proclamation de cette indépendance, à savoir Hubert Maga. Bravo, retiens bien cette date importante pour notre pays !",124,394,23
Histoire-Géographie,Traite négrière et colonisation,facile,gemini-flash-lite-latest,B_markdown,Donne une cause principale de la colonisation de l'Afrique par les Européens au 19ème siècle.,La recherche de matières premières et de nouveaux débouchés pour les industries européennes.,"Pour comprendre, rappelons-nous qu'au 19ème siècle, l'Europe connaît la révolution industrielle. Les usines européennes ont besoin de beaucoup de matières premières comme le coton ou le cacao, et de nouveaux marchés pour vendre leurs produits finis. C'est l'une des principales raisons qui ont poussé les Européens à coloniser l'Afrique.",93,337,15
Histoire-Géographie,Indépendances africaines,moyen,gemini-3.5-flash,B_markdown,"Le 1er août 1960, le Dahomey (actuel Bénin) accède à la souveraineté internationale. Explique brièvement par quelle voie (méthode) cette indépendance a été obtenue et nomme le tout premier président de la République du Dahomey.",Le Dahomey a accédé à l'indépendance par la voie pacifique (négociée) et son premier président était Hubert Maga.,"Bonjour mon ami ! C'est un excellent sujet pour réviser ton BEPC. Allons-y pas à pas pour bien comprendre.

**Étape 1 : Comprendre le contexte des indépendances**
Dans les années 1950-1960, les pays d'Afrique sous colonisation française ont cherché à obtenir leur liberté. Pour cela, il y avait principalement deux méthodes : la voie armée (par la guerre, comme en Algérie) et la voie pacifique ou négociée (par les discussions, les réformes et les lois).

**Étape 2 : Analyser le cas du Dahomey**
Pour notre cher pays, les leaders politiques de l'époque ont choisi le dialogue avec la métropole coloniale (la France). Après des étapes clés comme la Loi-cadre Defferre de 1956 et la création de la République du Dahomey au sein de la Communauté française en 1958, l'indépendance a été proclamée sans guerre. C'est donc la **voie pacifique** (ou négociée).

**Étape 3 : Identifier le premier président**
C'est **Hubert Coutoucou Maga** qui a proclamé officiellement cette indépendance le 1er août 1960 à Porto-Novo et qui est devenu le tout premier président de notre pays.

Voilà ! Tu as toutes les clés pour réussir ce genre de question à l'examen. Continue tes efforts, tu es sur la bonne voie !",227,1197,35
Sciences de la Vie et de la Terre,Environnement et développement durable,facile,gemini-flash-lite-latest,C_complet,"Au village de Agblangandan, on remarque que les sachets plastiques jetés partout dans la rue empêchent l'eau de pluie de s'infiltrer dans le sol et polluent notre environnement. Cite deux (02) conséquences néfastes de cette mauvaise gestion des sachets plastiques sur notre environnement au Bénin.","1. L'asphyxie du sol qui nuit à l'agriculture.
2. La pollution visuelle et des sources d'eau.","Pour résoudre cet exercice, nous devons réfléchir à ce qui se passe quand on jette les sachets plastiques dans la nature chez nous au Bénin.

Première étape : Observe le sol. Les sachets plastiques ne pourrissent pas facilement. En recouvrant la terre, ils empêchent l'eau de pluie de pénétrer et bloquent l'air. C'est ce qu'on appelle l'asphyxie du sol, ce qui empêche les plantes de bien pousser.

Deuxième étape : Pense à la propreté et à l'eau. Ces sachets traînent partout, ce qui gâche la beauté de nos paysages (pollution visuelle). De plus, portés par le vent ou la pluie, ils bouchent les caniveaux, créent des stagnations d'eau qui deviennent des nids pour les moustiques, et polluent l'eau.

Bravo pour ton effort, continue comme ça sur la voie du succès au BEPC !",297,775,45
